,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,Truth
499,canon powershot black 14.7 megapixel digital camera g10,canon powershot black 14.7 megapixel digital camera g10 14.7 megapixel 5x optical zoom optical image stabilizer digic 4 image processor face detection self-timer intelligent contrast correction 3.0 ' purecolor lcd print/share button black finish,,canonpowershot black 14.7 megapixel digital camera g10,"canonpowershot black 14.7 megapixel digital camera g10 colorful image quality correction digital video recorder and stand-alone web camera ( no pc necessary ) with Wi-Fi, Android 8.0 (HTC V2) camera, camera control manual",************************,1
500,logitech dinovo edge keyboard mac edition 920000924,logitech dinovo edge keyboard mac edition 920000924 perfectstroke key system innovative touchdisc charging base optimized mac layout bluetooth wireless technology 38 mm circular touch pad with horizontal and vertical scrolling,159.0,"xbrite-eco jasper mouse with wireless controller mflux keyboard, mouse interface","xbrite-eco jasper mouse with wireless controller mflux keyboard, mouse interface 1 g1 / mflux keyboard or mouse input for 2 buttons, wireless access for two keyboard",_.50,1
501,weber gas barbecue rotisserie 7519,"weber gas barbecue rotisserie 7519 fits genesis e-300 , s-300 gas grills heavy-duty electric motor counterbalance for smooth turning",80.0,geiger stop lever,"weber gas barbecue rotisserie 7519 fits genesis e-300 , s-300 gas grills heavy-duty electric motor counterbalance for smooth turning",��,1
502,sennheisser hi-fi wireless headphone rs120,sennheisser hi-fi wireless headphone rs120 supra aural wireless rf headphone system range of up to 100 meters three selectable rf channels transmitter with metal cradle,,sennheisser hi-,sennheisser hi-fi micro-controller hi-fi audio system locator for all rf channels,��,1
503,dlo black hybridshell for iphone 3g dla4010717,"dlo black hybridshell for iphone 3g dla4010717 fusion of crystal-clear polycarbonate hard-shell case plus non-slip silicone accents custom fit ultra-slim scratch and slip protection total access to all controls , dock connector and headset jack designed especially for the iphone 3g surface shield included black finish",24.99,dlo bf3k1r battery black charger dla4010221,white Color color-to-black-style-gloss-white,17.99 ��,1
504,garmin nuvi 275t gps navigation system 0100057600,garmin nuvi 275t gps navigation system 0100057600 3.5 ' antiglare touchscreen display size turn-by-turn directions voice prompts speaks street names 2-d or 3-d maps bluetooth wireless technology avoid traffic tie-ups integrated fm traffic receiver sleek & slim design jpeg picture viewer world travel clock up to 4 hours of battery life garmin lock grey finish,,bmi wmi wireless charging connector SINGLEMOVY-BIN 1.6a and 2.x Bluetooth-certified devices (v4.04) with up to 100 mAh rechargeable batteries,��,��,1
505,nikon d90 black digital slr camera with nikkor 18-105mm lens d90outfit,nikon d90 black digital slr camera with nikkor 18-105mm lens d90outfit 12.3 megapixel 3 ' tft lcd display d-movie shooting function expeed image processing scene recognition system in-camera retouch menu low-noise performance active d-lighting viewfinder compatible with hdmi output included af-s dx nikkor 18-105mm vr lens black finish,,canon f0r camcorder 9213b01,Canon f0r camcorder 9214b01 lithium-ion technology compatible with f0r cam corder digital Rebel cameras and other cameras with internal-camera cogs and viewfinders for digital Rebel cameras also compatible with Canon digital SLR 2.0 camcorder black finish,_.0  NEW T-ACG DUALTIVE CAMERA,1
506,canon black eos 50d digital slr camera body eos50dbody,canon black eos 50d digital slr camera body eos50dbody 15.1 megapixel cmos sensor digic 4 image processor 3.0 ' clear view lcd 9 cross-type high-precision sensors enhanced live view eos integrated cleaning system creative auto hdmi output 2807b006 black finish,,rz1009x4,rz6004 ucd jbq DVD playback player in real time,��,1
507,whirlpool duet sport front loading white washer white finish wfw8300swh,whirlpool duet sport front loading white washer wfw8300swh 3.4 cubic foot capacity electronic controls 7 cycles child lockout door lock variable-speed motor automatic water level control delay wash feature white finish,,whirlpool duet sport white wfw8300swh 3.4 cubic foot capacity electronic controls 7 cycles child lockout door lock variable-speed motor automatic water level control delay wash feature white finish,,𤤐� �� 𤐌 �� 𤌌 �� 𤌍 �� �� �� ⅑-5 grams white complete interior red finish WFR150KWH,1
508,logitech dinovo edge keyboard mac edition 920000924,logitech dinovo edge keyboard mac edition 920000924 perfectstroke key system innovative touchdisc charging base optimized mac layout bluetooth wireless technology 38 mm circular touch pad with horizontal and vertical scrolling,159.0,omico4,omica t1 t1 mouse model mb13-6102 t1 mode cg mouse button right-click,159.0 .ocrolor,1
509,sanus 32 ' 84 ' flat panel tv black tilting wall mount vmpl3b,sanus 32 ' 84 ' flat panel tv black tilting wall mount vmpl3b virtual axis tilt adjustment system supports up to 280 lbs . fits most large flat panel lcd tvs easy to install black finish,,sanus 38 ' tvs virtual axis tilt adjustment system 95 bpp.,sanus 36 ' tvs virtual axes tilt adjustment system,6.78 ��,1
510,boston acoustics duo-i am/fm clock radio with ipod dock hduoimdnt,boston acoustics duo-i am/fm clock radio with ipod dock hduoimdnt integrated ipod dock precision am/fm stereo tuner 3 1/2 ' dual high performance full-range speakers basstrac audio processing 2 auxiliary inputs high contrast display 10 fm & 5 am station presets 360º snooze bar remote control included grey finish,199.0,boston acoustics duo-i am/fm clock radio with ipod dock hduoimdnt,boston acoustics duo-i am/fm clock radio with ipod dock hduoimdnt integrated ipod dock precision am/fm stereo tuner 3 1/2 ' dual high performance full-range speakers basstrac audio processing 2 auxiliary inputs high contrast display 10 fm & 5 am station presets 360º snooze bar remote control included grey finish,199.0 *******************************  1. Introduction  2. Introduction  3. Introduction  4. Introduction  5. Introduction  6. Introduces,1
511,belkin cush top for computer laptop f8n044slv,"belkin cush top for computer laptop f8n044slv uniquely designed soft material for comfortable laptop use on the couch , bed , or floor convenient storage pocket center multi-sides accommodate any side laptop 6 colors to choose from silver finish",,crystal pocket pocket black base base white base purple base lime base blue base blue base lime base white,"belkin cush top for computer laptop f8n044slv uniquely designed soft material for comfortable laptop use on the couch , bed , or floor convenient storage pocket center multi-sides accommodate any side laptop 6 colors to choose from silver finish",ionicColname,1
512,panasonic black 1080p up-conversion dvd recorder dmrea18k,panasonic black 1080p up-conversion dvd recorder dmrea18k 1080p up-conversion simple recording and playback with viera link digital camera connection with sd memory card and usb cable super multi format recording and playback auto drive select black finish,,panasonic white 1080p up-conversion dvd recorder dmrea18k,panasonic white 1080p up-conversion dvd recorder dmrea18k 1080p up-conversion audio CD player built-in stereo speakers matte white finish,��,1
513,boston acoustics duo-i am/fm clock radio with ipod dock hduoimdnt,boston acoustics duo-i am/fm clock radio with ipod dock hduoimdnt integrated ipod dock precision am/fm stereo tuner 3 1/2 ' dual high performance full-range speakers basstrac audio processing 2 auxiliary inputs high contrast display 10 fm & 5 am station presets 360º snooze bar remote control included grey finish,199.0,boston acoustics duo-i am/fm clock radio with ipod dock swk8x2f,"boston acoustics duo-i am/fm clock radio with ipod dock swk8x2f integrated ipod dock precision AM/FM stereo tuner 1 mini digital tuner for 4 channels including front speaker, rear speaker & 5 min stereo channels available at home to meet customer demand",100.0 ��,1
514,panasonic black 1080p up-conversion dvd recorder dmrea18k,panasonic black 1080p up-conversion dvd recorder dmrea18k 1080p up-conversion simple recording and playback with viera link digital camera connection with sd memory card and usb cable super multi format recording and playback auto drive select black finish,,panasonic black 1080p up-conversion dvd recorder dmrea18k 9.7 cu . ft. top load washer ( diamond dust ),–––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––,––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––,1
515,panasonic black 1080p up-conversion dvd recorder dmrea18k,panasonic black 1080p up-conversion dvd recorder dmrea18k 1080p up-conversion simple recording and playback with viera link digital camera connection with sd memory card and usb cable super multi format recording and playback auto drive select black finish,,panasonic 2 video recording and playback with viera link digital camera connection with sd memory card and usb cable super multi format recording and playback with viera link black finish,panasonic2,��,1
516,weber gas barbecue rotisserie 7519,"weber gas barbecue rotisserie 7519 fits genesis e-300 , s-300 gas grills heavy-duty electric motor counterbalance for smooth turning",80.0,eegas charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal charcoal BLACK,��,6.75 ��,1
517,whirlpool duet sport front loading white washer white finish wfw8300swh,whirlpool duet sport front loading white washer wfw8300swh 3.4 cubic foot capacity electronic controls 7 cycles child lockout door lock variable-speed motor automatic water level control delay wash feature white finish,,whirlpool duet sport front loading white washer white finish wfw8300swh 8.5 square feet capacity electronic controls 8 cycles child lockout door lock variable-speed motor automatic water level control delay wash feature white finish,jpgs,��,1
518,sirius stiletto 2 portable satellite radio sl2pk1,sirius stiletto 2 portable satellite radio sl2pk1 sirius replay controls record up to 100 hours stores up to 10 hours of individual songs 2gb internal memory personalized sports ticker srs trubass and 3d focus technologies wifi black finish,,vk3 stiletto 2 portable satellite radio col uwl2,��,��,1
519,sennheisser hi-fi wireless headphone rs120,sennheisser hi-fi wireless headphone rs120 supra aural wireless rf headphone system range of up to 100 meters three selectable rf channels transmitter with metal cradle,,sennheisser hi-fi wireless headphone rs120,3-pack eXbluetooth stereo soundcard (eXbluetooth) stereo mux COBRAE,��,1
